2021-11-14 22:22:53.471 [Debug] 程序已启动，对象OPCHelperBat内容({"_MyGroup_Bat1":null,"_MyGroup_Bat2":null,"_BatCodeValue1":null,"_BatCodeValue2":null,"_BatBitValue1":null,"_BatBitValue2":null,"_Bat_Bool1Reset":null,"_Bat_Bool2Reset":null,"_Bat_BlockNo":null,"Exp_DxCapacity1":null,"Exp_DxCapacity2":null,"Exp_DxCapacity3":null,"Exp_DxCapacity4":null,"Exp_DxCapacity5":null,"Exp_DxCapacity6":null,"Exp_DxCapacity7":null,"Exp_DxCapacity8":null,"Exp_DxCapacity9":null,"Exp_DxCapacity10":null,"Exp_DxCapacity11":null,"Exp_DxCapacity12":null,"Exp_DxCapacity13":null,"Exp_DxCapacity14":null,"Exp_DxCapacity15":null,"Exp_DxCapacity16":null,"Exp_DxV1":null,"Exp_DxR1":null,"Exp_DxV2":null,"Exp_DxR2":null,"Exp_DxV3":null,"Exp_DxR3":null,"Exp_DxV4":null,"Exp_DxR4":null,"Exp_DxV5":null,"Exp_DxR5":null,"Exp_DxV6":null,"Exp_DxR6":null,"Exp_DxV7":null,"Exp_DxR7":null,"Exp_DxV8":null,"Exp_DxR8":null,"Exp_DxV9":null,"Exp_DxR9":null,"Exp_DxV10":null,"Exp_DxR10":null,"Exp_DxV11":null,"Exp_DxR11":null,"Exp_DxV12":null,"Exp_DxR12":null,"Exp_DxV13":null,"Exp_DxR13":null,"Exp_DxV14":null,"Exp_DxR14":null,"Exp_DxV15":null,"Exp_DxR15":null,"Exp_DxV16":null,"Exp_DxR16":null,"_ClientHandle":0,"IsDebug":true,"InitSucessfully":false}) frmMain1.Perinit => MainControl.Init => AppLogger.ShowLog
2021-11-14 22:23:09.522 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:23:14.626 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:23:19.888 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:23:24.973 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:23:30.077 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:23:35.165 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:23:40.286 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:23:45.374 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:23:50.526 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:23:55.666 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:00.805 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:05.907 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:11.008 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:16.160 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:21.278 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:26.471 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:31.683 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:36.813 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:41.963 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:47.108 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:52.238 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:24:57.358 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:25:02.552 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
2021-11-14 22:25:07.738 [Debug] 开始读取系统中总电芯量 SendMesControler.Listen => SendMesControler.ShowLogAsyn => AppLogger.ShowLog
